Energy (eV),Intensity,,,
917.6792711,0.164390106,,,
917.6778322,0.163292919,,,
917.6763932,0.162195732,,,
917.6749543,0.161098545,,,
917.6735154,0.160001358,,,
917.6720764,0.158904171,,,
917.6706375,0.157806984,,,
917.6691986,0.156709797,,,
917.8143253,0.165482154,,,
917.8128864,0.164384967,,,
917.8114475,0.16328778,,,
917.8100085,0.162190593,,,
917.8085696,0.161093406,,,
917.8071307,0.159996219,,,
917.8056917,0.158899032,,,
917.8042528,0.157801845,,,
917.8028139,0.156704658,,,
917.9465017,0.164379828,,,
917.9450627,0.163282641,,,
917.9436238,0.162185454,,,
917.9421849,0.161088267,,,
917.9407459,0.15999108,,,
917.939307,0.158893893,,,
917.9378681,0.157796706,,,
917.9364291,0.156699519,,,
918.080117,0.164374689,,,
918.078678,0.163277502,,,
918.0772391,0.162180315,,,
918.0758002,0.161083128,,,
918.0743612,0.159985941,,,
918.0729223,0.158888754,,,
918.0714834,0.157791567,,,
918.0700444,0.15669438,,,
918.2137322,0.16436955,,,
918.2122933,0.163272363,,,
918.2108544,0.162175176,,,
918.2094154,0.161077989,,,
918.2079765,0.159980802,,,
918.2065376,0.158883615,,,
918.2050986,0.157786428,,,
918.2036597,0.156689241,,,
918.3473475,0.164364411,,,
918.3459086,0.163267224,,,
918.3444697,0.162170037,,,
918.3430307,0.16107285,,,
918.3415918,0.159975663,,,
918.3401529,0.158878476,,,
918.3387139,0.157781289,,,
918.337275,0.156684102,,,
918.4809628,0.164359272,,,
918.4795239,0.163262085,,,
918.4780849,0.162164898,,,
918.476646,0.161067711,,,
918.4752071,0.159970524,,,
918.4737681,0.158873337,,,
918.4723292,0.15777615,,,
918.4708903,0.156678963,,,
918.6145781,0.164354133,,,
918.6131392,0.163256946,,,
918.6117002,0.162159759,,,
918.6102613,0.161062572,,,
918.6088224,0.159965385,,,
918.6073834,0.158868198,,,
918.6059445,0.157771011,,,
918.6045056,0.156673824,,,
